No,ID,Depth_m,qc_MPa,fs_kPa,u_kPa,Other,qt_MPa,Rf_p,SBT,Ic,gamma_kNm3,sv_kPa,u0_kPa,du_kPa,slv0_kPa,Qt1,Fr_p,Bq,SBTn,n,Cn,Icn,Qtn,U2,IB,MSBTn,KG,EST
1,1,0.65,0.67,13.36,13.39,0,0.67,1.99,3,3.05,18,11.7,0,13.39,11.7,56.36,2.03,0.02,5,0.79,5.45,2.45,35.94,1.14,32.16,7,287.2301229,0
2,1,0.85,0.7,15.08,13.03,0,0.71,2.14,3,3.05,18,15.3,0,13.03,15.3,45.1,2.18,0.02,4,0.81,4.62,2.51,31.85,0.85,29.98,5,283.060003,0
3,1,1.75,1.79,8.76,11.87,0,1.79,0.49,5,2.4,18,31.5,2.45,9.42,29.05,60.51,0.5,0.01,5,0.66,2.26,2.08,39.7,0.32,55.35,6,193.7043213,0
4,1,1.95,2.39,13.09,12.34,0,2.39,0.55,5,2.31,18,35.1,4.41,7.93,30.69,76.74,0.56,0,6,0.63,2.12,2.02,49.84,0.26,61.25,6,212.9266173,0
5,1,2.35,2.33,11.31,14.89,0,2.34,0.48,5,2.29,18,42.3,8.34,6.55,33.96,67.62,0.49,0,6,0.64,1.99,2.03,45.8,0.19,60.28,6,202.3930233,0
6,1,3.15,3.06,13.03,16.79,0,3.06,0.43,5,2.16,18,56.7,16.19,0.6,40.51,74.16,0.43,0,6,0.61,1.74,1.95,52.25,0.01,67.18,6,201.8882997,0
7,1,3.35,4.98,12.36,16.89,0,4.98,0.25,6,1.88,18,60.3,18.15,-1.26,42.15,116.78,0.25,0,6,0.52,1.56,1.7,76.99,-0.03,97.38,7,196.7307144,0
8,1,3.5,5.87,12.97,21.95,0,5.88,0.22,6,1.8,18,63,19.62,2.33,43.38,134.09,0.22,0,6,0.49,1.51,1.63,87.68,0.05,109.08,7,198.4823235,0
9,1,3.7,4.35,15.27,29.61,0,4.36,0.35,6,1.99,18,66.6,21.58,8.03,45.02,95.42,0.36,0,6,0.56,1.57,1.81,67.31,0.18,82.3,7,204.4589482,0
10,1,4.2,3.2,16.54,34.95,0,3.21,0.51,5,2.18,18,75.6,26.49,8.46,49.11,63.87,0.53,0,6,0.64,1.58,2.01,49.45,0.17,61.87,6,209.0119665,0
11,1,5.95,6.09,20.85,46.55,0,6.1,0.34,6,1.85,18,107.1,43.65,2.9,63.45,94.51,0.35,0,6,0.55,1.28,1.76,77.05,0.05,89.93,7,212.3860127,0
12,1,6,6.69,22.36,46.87,0,6.71,0.33,6,1.81,18,108,44.15,2.72,63.85,103.32,0.34,0,6,0.54,1.27,1.72,83.92,0.04,95.4,7,215.2511775,0
13,1,6.2,8.99,30.51,49.13,0,9,0.34,6,1.7,18,111.6,46.11,3.02,65.49,135.76,0.34,0,6,0.5,1.23,1.62,109.8,0.05,111.26,7,232.0054487,0
14,1,6.4,6.28,23.21,50.4,0,6.3,0.37,6,1.85,18,115.2,48.07,2.33,67.13,92.09,0.38,0,6,0.56,1.25,1.77,77.22,0.03,88.11,7,215.4486501,0
15,1,6.5,10.65,29.02,50.97,0,10.66,0.27,6,1.59,18,117,49.05,1.92,67.95,155.2,0.28,0,6,0.46,1.2,1.52,126.12,0.03,130,7,226.7954832,0
16,1,6.95,7.58,22.93,52.71,0,7.59,0.3,6,1.74,18,125.1,53.46,-0.75,71.64,104.23,0.31,0,6,0.52,1.19,1.68,88.95,-0.01,101.68,7,213.749887,0
17,1,7.15,9.48,32.42,54.05,0,9.49,0.34,6,1.68,18,128.7,55.43,-1.38,73.27,127.81,0.35,0,6,0.5,1.17,1.62,109.53,-0.02,110.76,7,231.5774381,0
18,1,7.45,12.92,45.6,55.53,0,12.93,0.35,6,1.57,18,134.1,58.37,-2.84,75.73,169,0.36,0,6,0.47,1.14,1.52,145.69,-0.04,127.7,7,252.7078523,0
19,1,8.3,9.26,29.26,64.79,0,9.28,0.32,6,1.67,18,149.4,66.71,-1.92,82.69,110.41,0.32,0,6,0.51,1.1,1.64,100.68,-0.02,108.22,7,222.9737996,0
20,1,8.65,6.56,23.35,72.05,0,6.58,0.35,6,1.83,18,155.7,70.14,1.91,85.56,75.11,0.36,0,6,0.58,1.09,1.8,70.33,0.02,84.07,7,208.6420746,0
21,1,10.3,15.07,43.47,101.84,0,15.09,0.29,6,1.46,18,185.4,86.33,15.51,99.07,150.47,0.29,0,6,0.46,1,1.46,149.71,0.16,140.52,7,239.0476822,0
22,1,11.85,14.87,42.83,104.82,0,14.9,0.29,6,1.47,18,213.3,101.53,3.29,111.77,131.36,0.29,0,6,0.47,0.95,1.49,139.27,0.03,134.93,7,235.2012422,0
23,1,12.55,13.5,42.21,118.53,0,13.53,0.31,6,1.52,18,225.9,108.4,10.13,117.5,113.24,0.32,0,6,0.5,0.92,1.56,122.7,0.09,121.83,7,233.7113755,0
24,1,12.95,16.1,57.09,119.87,0,16.13,0.35,6,1.48,18,233.1,112.32,7.55,120.78,131.61,0.36,0,6,0.49,0.91,1.52,144.91,0.06,126.93,7,251.6924549,0
25,1,13.45,5.41,33.85,143.69,0,5.45,0.62,6,2.01,18,242.1,117.23,26.46,124.87,41.69,0.65,0.01,5,0.71,0.85,2.09,44.46,0.21,55.06,6,213.5617757,0
26,1,13.7,5.15,19.28,112.66,0,5.18,0.37,6,1.93,18,246.6,119.68,-7.02,126.92,38.88,0.39,0,6,0.68,0.85,2.02,41.94,-0.06,60.13,6,187.0758594,0
27,1,13.85,4.52,17.45,100.05,0,4.54,0.38,6,1.99,18,249.3,121.15,-21.1,128.15,33.51,0.41,0,5,0.71,0.84,2.09,36.02,-0.16,54.37,6,182.3703413,0
28,1,14.1,6.3,28.23,106.71,0,6.32,0.45,6,1.89,18,253.8,123.61,-16.9,130.19,46.63,0.47,0,6,0.67,0.84,1.97,50.91,-0.13,65.02,6,203.071395,0
29,1,16.4,0.74,10.97,517.89,0,0.87,1.27,4,2.86,18,295.2,146.17,371.72,149.03,3.83,1.92,0.65,3,1,0.67,3.25,3.83,2.49,17.88,1,147.5521391,0
30,1,16.5,0.84,12.95,517.89,0,0.97,1.34,4,2.83,18,297,147.15,370.74,149.85,4.48,1.93,0.55,3,1,0.67,3.19,4.48,2.47,18.42,1,153.8172136,0
31,1,16.75,0.79,11.77,500.47,0,0.91,1.29,4,2.85,18,301.5,149.6,350.87,151.9,4.02,1.93,0.57,3,1,0.66,3.24,4.02,2.31,18.04,1,151.0831285,0
32,1,18.05,0.69,10.05,552.74,0,0.82,1.22,4,2.87,18,324.9,162.36,390.38,162.54,3.07,2.01,0.78,3,1,0.62,3.35,3.07,2.4,17.16,2,141.8731499,0
33,1,18.75,0.82,11.94,585.74,0,0.97,1.24,4,2.82,18,337.5,169.22,416.52,168.28,3.73,1.9,0.66,3,1,0.59,3.26,3.73,2.48,17.81,1,146.4967713,0
34,1,18.95,0.76,10.94,601.95,0,0.92,1.2,4,2.83,18,341.1,171.18,430.77,169.92,3.38,1.91,0.75,3,1,0.59,3.3,3.38,2.54,17.5,1,143.1310821,0
35,1,20.4,0.8,11.44,618.11,0,0.95,1.2,4,2.81,18,367.2,185.41,432.7,181.79,3.23,1.95,0.74,3,1,0.55,3.32,3.23,2.38,17.34,1,141.8888671,0
36,1,20.45,0.81,11.61,622.47,0,0.96,1.2,4,2.81,18,368.1,185.9,436.57,182.2,3.27,1.95,0.73,3,1,0.55,3.32,3.27,2.4,17.38,1,143.2046908,0
37,1,20.55,0.82,11.78,634.05,0,0.98,1.2,4,2.8,18,369.9,186.88,447.17,183.02,3.33,1.93,0.73,3,1,0.55,3.31,3.33,2.44,17.44,1,143.3440282,0
38,1,20.8,0.94,13.5,642.11,0,1.1,1.23,4,2.76,18,374.4,189.33,452.78,185.07,3.91,1.86,0.63,3,1,0.54,3.24,3.91,2.45,18,1,147.9718139,0
