No,ID,CG,Depth_m,qc_MPa,fs_kPa,u_kPa,Other,qt_MPa,Rf_p,SBT,Ic,gamma_kNm3,sv_kPa,u0_kPa,du_kPa,slv0_kPa,Qt1,Fr_p,Bq,SBTn,n,Cn,Icn,Qtn,U2,IB,MSBTn,KG,EST
1,1,2,0.5,0.63,11.09,13.66,0,0.63,1.75,3,3.05,18,9,0,13.66,9,69.55,1.77,0.02,5,0.76,6.3,2.38,39.45,1.52,35.34,7,281.8913082,0
2,1,2,1.35,0.75,10.15,12.16,0,0.75,1.36,4,2.93,18,24.3,0,12.16,24.3,29.81,1.4,0.02,5,0.82,3.18,2.51,23.03,0.5,32.29,6,221.9559966,0
3,1,2,1.6,1.02,9.33,11.74,0,1.03,0.91,4,2.73,18,28.8,0.98,10.76,27.82,35.83,0.94,0.01,5,0.76,2.66,2.37,26.51,0.39,38.51,6,206.5873502,0
4,1,2,3.05,2.86,14.44,16.76,0,2.86,0.5,5,2.22,18,54.9,15.21,1.55,39.69,70.78,0.51,0,6,0.63,1.79,2,50.3,0.04,62.9,6,209.036641,0
5,1,2,3.35,4.98,12.36,16.89,0,4.98,0.25,6,1.88,18,60.3,18.15,-1.26,42.15,116.78,0.25,0,6,0.52,1.56,1.7,76.99,-0.03,97.38,7,196.7307144,0
6,1,2,3.95,3.95,16.55,31.95,0,3.96,0.42,6,2.06,18,71.1,24.03,7.92,47.07,82.54,0.43,0,6,0.59,1.56,1.89,60.71,0.17,73.76,7,209.4071972,0
7,1,2,4.7,3.77,18.2,40.66,0,3.78,0.48,5,2.1,18,84.6,31.39,9.27,53.21,69.52,0.49,0,6,0.62,1.48,1.96,54.76,0.17,66.8,7,211.7844205,0
8,1,2,4.85,3.9,19.08,40.74,0,3.91,0.49,5,2.09,18,87.3,32.86,7.88,54.44,70.28,0.5,0,6,0.62,1.46,1.95,55.81,0.14,67.27,7,212.1194275,0
9,1,2,5.2,4.6,18.95,41.16,0,4.61,0.41,6,1.99,18,93.6,36.3,4.86,57.3,78.85,0.42,0,6,0.59,1.39,1.87,62.82,0.08,75.58,7,209.4690574,0
10,1,2,6.7,9.03,32.52,52.13,0,9.04,0.36,6,1.71,18,120.6,51.01,1.12,69.59,128.23,0.36,0,6,0.51,1.2,1.64,107.31,0.02,107.52,7,233.8980362,0
11,1,2,7.65,10.74,36.88,56.47,0,10.75,0.34,6,1.63,18,137.7,60.33,-3.86,77.37,137.16,0.35,0,6,0.49,1.13,1.58,120.4,-0.05,116.59,7,236.3286067,0
12,1,2,7.7,10.42,35.62,56.9,0,10.43,0.34,6,1.64,18,138.6,60.82,-3.92,77.78,132.35,0.35,0,6,0.5,1.13,1.6,116.62,-0.05,114.74,7,236.660734,0
13,1,2,8,8.6,31.43,60.32,0,8.62,0.36,6,1.73,18,144,63.77,-3.45,80.23,105.61,0.37,0,6,0.53,1.12,1.69,95.28,-0.04,99.95,7,227.928032,0
14,1,2,8.4,7.7,29.3,67.82,0,7.71,0.38,6,1.78,18,151.2,67.69,0.13,83.51,90.56,0.39,0,6,0.56,1.11,1.75,83.61,0,91.43,7,222.9667466,0
15,1,2,10.05,14.21,44.62,93.26,0,14.23,0.31,6,1.5,18,180.9,83.88,9.38,97.02,144.82,0.32,0,6,0.47,1.01,1.5,142.52,0.1,132.33,7,242.3557286,0
16,1,2,10.4,14.48,36.12,103.19,0,14.51,0.25,6,1.45,18,187.2,87.31,15.88,99.89,143.35,0.25,0,6,0.45,1,1.45,143.26,0.16,144.4,7,228.3705719,0
17,1,2,10.7,12.24,48.36,102.76,0,12.27,0.39,6,1.61,18,192.6,90.25,12.51,102.35,117.97,0.4,0,6,0.52,0.99,1.62,119.29,0.12,109.78,7,246.8877026,0
18,1,2,10.75,11.85,45.99,102.53,0,11.88,0.39,6,1.62,18,193.5,90.74,11.79,102.76,113.69,0.39,0,6,0.52,0.99,1.63,115.18,0.11,108.53,7,243.5450096,0
19,1,2,10.8,10.8,41.71,102.26,0,10.82,0.39,6,1.65,18,194.4,91.23,11.03,103.17,103.01,0.39,0,6,0.54,0.98,1.66,104.51,0.11,103.14,7,235.1878138,0
20,1,2,11.2,11.12,44.84,93.34,0,11.14,0.4,6,1.65,18,201.6,95.16,-1.82,106.44,102.78,0.41,0,6,0.54,0.97,1.67,105.78,-0.02,102.14,7,240.3527533,0
21,1,2,12.6,14.11,44.93,119.11,0,14.14,0.32,6,1.51,18,226.8,108.89,10.22,117.91,117.99,0.32,0,6,0.5,0.92,1.55,128.17,0.09,124.04,7,238.4439006,0
22,1,2,13.2,4.92,22.8,158.69,0,4.96,0.46,6,1.99,18,237.6,114.78,43.91,122.82,38.43,0.48,0.01,6,0.7,0.87,2.07,40.88,0.36,56.69,6,195.5147805,0
23,1,2,13.7,5.15,19.28,112.66,0,5.18,0.37,6,1.93,18,246.6,119.68,-7.02,126.92,38.88,0.39,0,6,0.68,0.85,2.02,41.94,-0.06,60.13,6,187.0758594,0
24,1,2,14.65,7.61,33.94,135.08,0,7.65,0.44,6,1.81,18,263.7,129,6.08,134.7,54.8,0.46,0,6,0.64,0.83,1.9,60.97,0.05,72.39,7,212.7568618,0
25,1,2,15.4,0.66,11.41,232.84,0,0.72,1.58,3,2.98,18,277.2,136.36,96.48,140.84,3.15,2.57,0.22,3,1,0.71,3.39,3.15,0.69,16.84,2,152.1525883,0
26,1,2,15.45,0.67,12.57,251.47,0,0.73,1.71,3,2.99,18,278.1,136.85,114.62,141.25,3.23,2.76,0.25,3,1,0.71,3.39,3.23,0.81,16.77,2,155.0416284,0
27,1,2,15.55,0.72,9.2,360.11,0,0.81,1.13,4,2.86,18,279.9,137.83,222.28,142.07,3.76,1.72,0.42,3,1,0.7,3.24,3.76,1.56,17.99,1,143.6935628,0
28,1,2,15.9,0.64,10.71,472.58,0,0.76,1.4,4,2.93,18,286.2,141.26,331.32,144.94,3.28,2.25,0.7,3,1,0.69,3.35,3.28,2.29,17.16,2,149.091132,0
29,1,2,16.8,0.76,10.87,432.95,0,0.86,1.26,4,2.86,18,302.4,150.09,282.86,152.31,3.69,1.93,0.5,3,1,0.66,3.27,3.69,1.86,17.75,1,147.1689543,0
30,1,2,17.3,0.77,10.93,535.53,0,0.91,1.21,4,2.83,18,311.4,155,380.53,156.4,3.81,1.84,0.64,3,1,0.64,3.25,3.81,2.43,17.93,1,146.9738806,0
31,1,2,18.4,0.73,11.87,568.95,0,0.87,1.37,4,2.88,18,331.2,165.79,403.16,165.41,3.25,2.21,0.75,3,1,0.6,3.35,3.25,2.44,17.17,2,148.0672294,0
32,1,2,19.25,0.83,11.92,605.68,0,0.98,1.22,4,2.81,18,346.5,174.13,431.55,172.37,3.66,1.89,0.68,3,1,0.58,3.27,3.66,2.5,17.76,1,146.2706676,0
33,1,2,19.45,0.89,12.7,590,0,1.04,1.22,4,2.78,18,350.1,176.09,413.91,174.01,3.98,1.83,0.6,3,1,0.57,3.23,3.98,2.38,18.08,1,148.0671556,0
34,1,2,20.2,0.77,10.78,614.21,0,0.92,1.17,4,2.82,18,363.6,183.45,430.76,180.15,3.1,1.93,0.77,3,1,0.56,3.34,3.1,2.39,17.24,1,141.1132193,0
35,1,2,20.4,0.8,11.44,618.11,0,0.95,1.2,4,2.81,18,367.2,185.41,432.7,181.79,3.23,1.95,0.74,3,1,0.55,3.32,3.23,2.38,17.34,1,141.8888671,0
36,1,2,21.95,0.98,12.97,661.05,0,1.14,1.13,4,2.73,18,395.1,200.61,460.44,194.49,3.85,1.73,0.61,3,1,0.51,3.23,3.85,2.37,18.06,1,144.4248671,0
37,1,2,22.15,1.05,13.48,699.95,0,1.22,1.1,4,2.7,18,398.7,202.58,497.37,196.12,4.2,1.64,0.6,3,1,0.51,3.19,4.2,2.54,18.48,1,146.5491815,0
38,1,2,22.35,1.09,13.61,663.37,0,1.26,1.08,4,2.69,18,402.3,204.54,458.83,197.76,4.32,1.59,0.54,3,1,0.51,3.17,4.32,2.32,18.62,1,145.9349251,0
39,1,2,23.05,1.13,16.93,682.16,0,1.31,1.3,4,2.71,18,414.9,211.41,470.75,203.49,4.37,1.9,0.53,3,1,0.49,3.2,4.37,2.31,18.35,1,152.9000076,0
40,1,2,23.2,1.09,16.23,721.42,0,1.27,1.28,4,2.72,18,417.6,212.88,508.54,204.72,4.15,1.91,0.6,3,1,0.49,3.22,4.15,2.48,18.15,1,150.8629174,0
41,1,2,24.25,0.99,12.11,764.68,0,1.19,1.02,4,2.7,18,436.5,223.18,541.5,213.32,3.51,1.62,0.72,3,1,0.47,3.25,3.51,2.54,17.85,1,138.2059583,0
42,1,2,24.9,0.96,12.33,780.53,0,1.16,1.07,4,2.72,18,448.2,229.55,550.98,218.65,3.24,1.74,0.78,3,1,0.46,3.3,3.24,2.52,17.51,1,138.6612743,0
43,1,2,25.4,0.97,13.72,826,0,1.18,1.16,4,2.73,18,457.2,234.46,591.54,222.74,3.25,1.9,0.82,3,1,0.45,3.32,3.25,2.66,17.39,1,142.547285,0
44,1,2,26.7,1.24,18.07,792.21,0,1.43,1.26,4,2.67,18,480.6,247.21,545,233.39,4.08,1.9,0.57,3,1,0.43,3.23,4.08,2.34,18.11,1,150.848693,0
45,1,2,26.75,1.22,16.98,834.11,0,1.43,1.19,4,2.66,18,481.5,247.7,586.41,233.8,4.05,1.79,0.62,3,1,0.43,3.22,4.05,2.51,18.18,1,148.1281834,0
46,1,2,26.9,1.19,14.45,870.58,0,1.41,1.02,4,2.63,18,484.2,249.17,621.41,235.03,3.94,1.56,0.67,3,1,0.43,3.2,3.94,2.64,18.31,1,141.4713819,0
